birdY,birdJump,birdVelocity,pipeY
300.6,0,0.6,0
301.8,0,1.2,0
303.6,0,1.7999999999999998,0
306,0,2.4,0
309,0,3,0
312.6,0,3.6,0
316.8,0,4.2,0
321.6,0,4.8,0
327,0,5.3999999999999995,0
333,0,5.999999999999999,0
339.6,0,6.599999999999999,0
346.8,0,7.199999999999998,0
354.6,0,7.799999999999998,0
363,0,8.399999999999999,0
372,0,8.999999999999998,0
381.6,0,9.599999999999998,0
391.8,0,10.199999999999998,0
402.6,0,10.799999999999997,0
414,0,11.399999999999997,0
426,0,11.999999999999996,0
438.6,0,12.599999999999996,0
451.8,0,13.199999999999996,0
442.40000000000003,1,-9.4,0
433.6,0,-8.8,0
425.40000000000003,0,-8.200000000000001,0
417.8,0,-7.600000000000001,0
410.8,0,-7.000000000000002,0
404.40000000000003,0,-6.400000000000002,0
398.6,0,-5.8000000000000025,0
393.40000000000003,0,-5.200000000000003,0
384.00000000000006,1,-9.4,0
375.20000000000005,0,-8.8,0
367.00000000000006,0,-8.200000000000001,0
359.40000000000003,0,-7.600000000000001,0
352.40000000000003,0,-7.000000000000002,0
346.00000000000006,0,-6.400000000000002,0
340.20000000000005,0,-5.8000000000000025,0
335.00000000000006,0,-5.200000000000003,0
330.40000000000003,0,-4.600000000000003,0
326.40000000000003,0,-4.0000000000000036,0
323.00000000000006,0,-3.4000000000000035,0
320.20000000000005,0,-2.8000000000000034,0
318.00000000000006,0,-2.2000000000000033,0
316.40000000000003,0,-1.6000000000000032,0
315.40000000000003,0,-1.000000000000003,0
315.00000000000006,0,-0.40000000000000313,0
315.20000000000005,0,0.19999999999999685,0
316.00000000000006,0,0.7999999999999968,0
317.40000000000003,0,1.3999999999999968,0
319.40000000000003,0,1.999999999999997,0
322.00000000000006,0,2.599999999999997,0
325.20000000000005,0,3.199999999999997,0
329.00000000000006,0,3.799999999999997,0
333.40000000000003,0,4.399999999999997,0
338.40000000000003,0,4.9999999999999964,0
329.00000000000006,1,-9.4,0
320.20000000000005,0,-8.8,0
312.00000000000006,0,-8.200000000000001,0
304.40000000000003,0,-7.600000000000001,0
297.40000000000003,0,-7.000000000000002,0
291.00000000000006,0,-6.400000000000002,0
285.20000000000005,0,-5.8000000000000025,0
280.00000000000006,0,-5.200000000000003,0
275.40000000000003,0,-4.600000000000003,0
271.40000000000003,0,-4.0000000000000036,0
268.00000000000006,0,-3.4000000000000035,0
265.20000000000005,0,-2.8000000000000034,0
263.00000000000006,0,-2.2000000000000033,0
261.40000000000003,0,-1.6000000000000032,0
260.40000000000003,0,-1.000000000000003,0
260.00000000000006,0,-0.40000000000000313,0
260.20000000000005,0,0.19999999999999685,0
261.00000000000006,0,0.7999999999999968,0
262.40000000000003,0,1.3999999999999968,0
264.40000000000003,0,1.999999999999997,0
267.00000000000006,0,2.599999999999997,0
270.20000000000005,0,3.199999999999997,0
274.00000000000006,0,3.799999999999997,0
278.40000000000003,0,4.399999999999997,0
283.40000000000003,0,4.9999999999999964,0
289.00000000000006,0,5.599999999999996,0
295.20000000000005,0,6.199999999999996,0
302.00000000000006,0,6.799999999999995,0
309.40000000000003,0,7.399999999999995,0
300.00000000000006,1,-9.4,0
291.20000000000005,0,-8.8,0
283.00000000000006,0,-8.200000000000001,0
275.40000000000003,0,-7.600000000000001,0
268.40000000000003,0,-7.000000000000002,0
262.00000000000006,0,-6.400000000000002,0
256.20000000000005,0,-5.8000000000000025,0
251.00000000000006,0,-5.200000000000003,0
246.40000000000006,0,-4.600000000000003,0
242.40000000000006,0,-4.0000000000000036,0
239.00000000000006,0,-3.4000000000000035,0
236.20000000000005,0,-2.8000000000000034,0
234.00000000000003,0,-2.2000000000000033,0
232.40000000000003,0,-1.6000000000000032,0
231.40000000000003,0,-1.000000000000003,0
231.00000000000003,0,-0.40000000000000313,0
231.20000000000002,0,0.19999999999999685,0
232,0,0.7999999999999968,0
233.4,0,1.3999999999999968,0
235.4,0,1.999999999999997,0
238,0,2.599999999999997,0
241.2,0,3.199999999999997,0
245,0,3.799999999999997,0
249.4,0,4.399999999999997,0
254.4,0,4.9999999999999964,0
260,0,5.599999999999996,0
266.2,0,6.199999999999996,0
273,0,6.799999999999995,0
280.4,0,7.399999999999995,0
288.4,0,7.999999999999995,0
297,0,8.599999999999994,0
306.2,0,9.199999999999994,0
316,0,9.799999999999994,0
326.4,0,10.399999999999993,0
317,1,-9.4,0
308.2,0,-8.8,0
300,0,-8.200000000000001,0
292.4,0,-7.600000000000001,0
285.4,0,-7.000000000000002,0
279,0,-6.400000000000002,0
273.2,0,-5.8000000000000025,0
268,0,-5.200000000000003,0
263.4,0,-4.600000000000003,0
259.4,0,-4.0000000000000036,0
255.99999999999997,0,-3.4000000000000035,0
253.19999999999996,0,-2.8000000000000034,0
250.99999999999994,0,-2.2000000000000033,0
249.39999999999995,0,-1.6000000000000032,0
248.39999999999995,0,-1.000000000000003,0
247.99999999999994,0,-0.40000000000000313,0
248.19999999999993,0,0.19999999999999685,0
248.99999999999991,0,0.7999999999999968,0
250.39999999999992,0,1.3999999999999968,0
252.39999999999992,0,1.999999999999997,0
254.99999999999991,0,2.599999999999997,0
258.19999999999993,0,3.199999999999997,0
261.99999999999994,0,3.799999999999997,0
266.3999999999999,0,4.399999999999997,0
271.3999999999999,0,4.9999999999999964,0
276.99999999999994,0,5.599999999999996,0
283.19999999999993,0,6.199999999999996,0
289.99999999999994,0,6.799999999999995,0
297.3999999999999,0,7.399999999999995,0
305.3999999999999,0,7.999999999999995,0
313.9999999999999,0,8.599999999999994,313.0792067060811
323.1999999999999,0,9.199999999999994,313.0792067060811
332.9999999999999,0,9.799999999999994,313.0792067060811
323.5999999999999,1,-9.4,313.0792067060811
314.7999999999999,0,-8.8,313.0792067060811
306.5999999999999,0,-8.200000000000001,313.0792067060811
298.9999999999999,0,-7.600000000000001,313.0792067060811
291.9999999999999,0,-7.000000000000002,313.0792067060811
285.5999999999999,0,-6.400000000000002,313.0792067060811
279.7999999999999,0,-5.8000000000000025,313.0792067060811
274.5999999999999,0,-5.200000000000003,313.0792067060811
269.9999999999999,0,-4.600000000000003,313.0792067060811
265.9999999999999,0,-4.0000000000000036,313.0792067060811
262.5999999999999,0,-3.4000000000000035,313.0792067060811
259.7999999999999,0,-2.8000000000000034,313.0792067060811
257.5999999999999,0,-2.2000000000000033,313.0792067060811
