birdY,birdJump,birdVelocity,pipeY
300.6,0,0.6,0
301.8,0,1.2,0
303.6,0,1.7999999999999998,0
306,0,2.4,0
309,0,3,0
312.6,0,3.6,0
316.8,0,4.2,0
321.6,0,4.8,0
327,0,5.3999999999999995,0
333,0,5.999999999999999,0
339.6,0,6.599999999999999,0
346.8,0,7.199999999999998,0
354.6,0,7.799999999999998,0
363,0,8.399999999999999,0
372,0,8.999999999999998,0
381.6,0,9.599999999999998,0
391.8,0,10.199999999999998,0
402.6,0,10.799999999999997,0
414,0,11.399999999999997,0
426,0,11.999999999999996,0
438.6,0,12.599999999999996,0
451.8,0,13.199999999999996,0
465.6,0,13.799999999999995,0
480,0,14.399999999999995,0
495,0,14.999999999999995,0
510.6,0,15.599999999999994,0
526.8000000000001,0,16.199999999999996,0
543.6,0,16.799999999999997,0
561,0,17.4,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
568,0,0,0
558.6,1,-9.4,0
549.8000000000001,0,-8.8,0
541.6,0,-8.200000000000001,0
534,0,-7.600000000000001,0
527,0,-7.000000000000002,0
520.6,0,-6.400000000000002,0
514.8000000000001,0,-5.8000000000000025,0
509.6000000000001,0,-5.200000000000003,0
505.00000000000006,0,-4.600000000000003,0
495.6000000000001,1,-9.4,0
486.80000000000007,0,-8.8,0
478.6000000000001,0,-8.200000000000001,0
471.00000000000006,0,-7.600000000000001,0
464.00000000000006,0,-7.000000000000002,0
457.6000000000001,0,-6.400000000000002,0
451.80000000000007,0,-5.8000000000000025,0
446.6000000000001,0,-5.200000000000003,0
442.00000000000006,0,-4.600000000000003,0
438.00000000000006,0,-4.0000000000000036,0
434.6000000000001,0,-3.4000000000000035,0
431.80000000000007,0,-2.8000000000000034,0
429.6000000000001,0,-2.2000000000000033,0
428.00000000000006,0,-1.6000000000000032,0
427.00000000000006,0,-1.000000000000003,0
426.6000000000001,0,-0.40000000000000313,0
426.80000000000007,0,0.19999999999999685,0
427.6000000000001,0,0.7999999999999968,0
429.00000000000006,0,1.3999999999999968,0
431.00000000000006,0,1.999999999999997,0
433.6000000000001,0,2.599999999999997,0
436.80000000000007,0,3.199999999999997,0
440.6000000000001,0,3.799999999999997,0
445.00000000000006,0,4.399999999999997,0
435.6000000000001,1,-9.4,0
426.80000000000007,0,-8.8,0
418.6000000000001,0,-8.200000000000001,0
411.00000000000006,0,-7.600000000000001,0
404.00000000000006,0,-7.000000000000002,0
397.6000000000001,0,-6.400000000000002,0
391.80000000000007,0,-5.8000000000000025,0
386.6000000000001,0,-5.200000000000003,0
382.00000000000006,0,-4.600000000000003,0
378.00000000000006,0,-4.0000000000000036,0
374.6000000000001,0,-3.4000000000000035,0
371.80000000000007,0,-2.8000000000000034,0
369.6000000000001,0,-2.2000000000000033,0
368.00000000000006,0,-1.6000000000000032,0
367.00000000000006,0,-1.000000000000003,0
366.6000000000001,0,-0.40000000000000313,0
366.80000000000007,0,0.19999999999999685,0
367.6000000000001,0,0.7999999999999968,0
369.00000000000006,0,1.3999999999999968,0
371.00000000000006,0,1.999999999999997,0
373.6000000000001,0,2.599999999999997,0
376.80000000000007,0,3.199999999999997,0
380.6000000000001,0,3.799999999999997,0
385.00000000000006,0,4.399999999999997,0
390.00000000000006,0,4.9999999999999964,0
395.6000000000001,0,5.599999999999996,0
401.80000000000007,0,6.199999999999996,0
408.6000000000001,0,6.799999999999995,0
416.00000000000006,0,7.399999999999995,0
424.00000000000006,0,7.999999999999995,0
414.6000000000001,1,-9.4,0
405.80000000000007,0,-8.8,0
397.6000000000001,0,-8.200000000000001,0
390.00000000000006,0,-7.600000000000001,0
383.00000000000006,0,-7.000000000000002,0
376.6000000000001,0,-6.400000000000002,0
370.80000000000007,0,-5.8000000000000025,0
365.6000000000001,0,-5.200000000000003,0
361.00000000000006,0,-4.600000000000003,0
357.00000000000006,0,-4.0000000000000036,0
353.6000000000001,0,-3.4000000000000035,0
350.80000000000007,0,-2.8000000000000034,0
348.6000000000001,0,-2.2000000000000033,0
347.00000000000006,0,-1.6000000000000032,0
346.00000000000006,0,-1.000000000000003,0
345.6000000000001,0,-0.40000000000000313,0
345.80000000000007,0,0.19999999999999685,0
346.6000000000001,0,0.7999999999999968,0
348.00000000000006,0,1.3999999999999968,0
350.00000000000006,0,1.999999999999997,0
352.6000000000001,0,2.599999999999997,0
343.2000000000001,1,-9.4,0
334.4000000000001,0,-8.8,0
326.2000000000001,0,-8.200000000000001,0
318.6000000000001,0,-7.600000000000001,0
311.6000000000001,0,-7.000000000000002,0
305.2000000000001,0,-6.400000000000002,0
299.4000000000001,0,-5.8000000000000025,0
294.2000000000001,0,-5.200000000000003,0
289.6000000000001,0,-4.600000000000003,0
285.6000000000001,0,-4.0000000000000036,0
282.2000000000001,0,-3.4000000000000035,381.57571009420394
279.4000000000001,0,-2.8000000000000034,381.57571009420394
277.2000000000001,0,-2.2000000000000033,381.57571009420394
275.6000000000001,0,-1.6000000000000032,381.57571009420394
274.6000000000001,0,-1.000000000000003,381.57571009420394
274.2000000000001,0,-0.40000000000000313,381.57571009420394
274.4000000000001,0,0.19999999999999685,381.57571009420394
275.2000000000001,0,0.7999999999999968,381.57571009420394
276.6000000000001,0,1.3999999999999968,381.57571009420394
278.6000000000001,0,1.999999999999997,381.57571009420394
281.2000000000001,0,2.599999999999997,381.57571009420394
284.4000000000001,0,3.199999999999997,381.57571009420394
288.2000000000001,0,3.799999999999997,381.57571009420394
292.6000000000001,0,4.399999999999997,381.57571009420394
297.6000000000001,0,4.9999999999999964,381.57571009420394
303.2000000000001,0,5.599999999999996,381.57571009420394
309.4000000000001,0,6.199999999999996,381.57571009420394
316.2000000000001,0,6.799999999999995,381.57571009420394
323.6000000000001,0,7.399999999999995,381.57571009420394
331.6000000000001,0,7.999999999999995,381.57571009420394
340.20000000000005,0,8.599999999999994,381.57571009420394
349.40000000000003,0,9.199999999999994,381.57571009420394
359.20000000000005,0,9.799999999999994,381.57571009420394
369.6,0,10.399999999999993,381.57571009420394
380.6,0,10.999999999999993,381.57571009420394
